Exchange,Symbol,Segment,SecurityType,PrimaryExch,LotSize,Restriction,OutstandingShares,ADV,MaxShares,MaxGrossShares,OddLot,MaxLots,MktPriceTick,MktPriceTolerance,PriceRangePct,BidPriceRangePct,AskPriceRangePct,RIC,QUIK,ISIN,BSYM,CUSIP,SEDOL,Currency,ClosePrice,BasePrice,PriceMult,ContractMult,Last,Bid,Ask,MinPrice,MaxPrice,MovingAvgPx,SettlePx,IAP,TrdStatus,MktCode,Tick,TickSize,Flags,Attributes,MovingAvgWindow,MovingAvgFreq,Partition,TickGroup,DerType,Underlying,OptionType,ExerciseStyle,StrikePrice,MaturityYearMonth,MaturityDay,ShortOptionMin,ContractValueFactor,Delta,MaxIntraGrossShares,MaxFutIntraGrossShares,ExposureMarginPct,FutureExtremeLossMarginPct,OptionExtremeLossMarginPct,SpreadExtremeLossMarginPct,RiskArray0,RiskArray1,RiskArray2,RiskArray3,RiskArray4,RiskArray5,RiskArray6,RiskArray7,RiskArray8,RiskArray9,RiskArray10,RiskArray11,RiskArray12,RiskArray13,RiskArray14,RiskArray15,ExecExchange,TrackedPrice,SharedAvail,SharedUsed
"T","9950","","CS","T",1000,,,3750,,,Y,160,Y,Y,,,,"9950.T","","JP3769200001","9950 JT","9JE008GJ0","6401889","",,495,,,495,,,495,695,,,,,,"D",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8227","","CS","T",100,,,209379,,,Y,2826,Y,Y,,,,"8227.T","","JP3358200008","8227 JT","824990857","6804035","",,14150,,,,,,11540,17540,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","1764","","CS","T",1000,,,8429,,,Y,133,Y,Y,,,,"1764.T","","JP3266150006","1764 JT","9JE008IV1","6504335","",,216,,,,,,125,285,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5805","","CS","T",1000,,,567929,,,Y,3082,Y,Y,,,,"5805.T","","JP3368400002","5805 JT","825990146","6805481","",,59,,,,,,33,93,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8787","","CS","T",100,,,3164,,,Y,1880,Y,Y,,,,"8787.T","","JP3944380009","8787 JT","9JE017TK4","B0F42Z5","",,945,,,,,,828,1128,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","1382","","CS","T",100,,,367,,,Y,76,Y,Y,,,,"1382.T","","JP3837630007","1382 JT","9JE015VT6","B0C6JK8","",,990,,,,,,750,1350,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","4555","","CS","T",100,,,179536,,,Y,3816,Y,Y,,,,"4555.T","","JP3323050009","4555 JT","795990027","6784955","",,7770,,,,,,6090,9090,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","3290","","CS","T",1,,,203,,,Y,750,Y,Y,,,,"3290.T","","JP3047640002","3290 JT","9JE06AWH5","BDGTL31","",,430500,,,,,,356000,496000,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","1612","","CS","T",100,,,7214,,,Y,467,Y,Y,,,,"1612.T","","JP3040130001","1612 JT","9JE009AQ8","6518756","",,144,,,,,,89,189,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8709","","CS","T",100,,,6529,,,Y,590,Y,Y,,,,"8709.T","","JP3289700001","8709 JT","9JE01HVG8","B0YB785","",,1268,,,,,,926,1526,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8537","","CS","T",1000,,,44571,,,Y,1000,Y,Y,,,,"8537.T","","JP3441600008","8537 JT","9EQ0YRR65","6871493","",,192,,,,,,142,242,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","4771","","CS","T",100,,,44807,,,Y,1548,Y,Y,,,,"4771.T","","JP3166700009","4771 JT","9JE008C88","6269849","",,974,,,,,,767,1067,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","3275","","CS","T",100,,,3536,,,Y,389,Y,Y,,,,"3275.T","","JP3765350008","3275 JT","9JE07JK96","B4VV786","",,1630,,,,,,1268,2068,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","3727","","CS","T",100,,,137414,,,Y,1417,Y,Y,,,,"3727.T","","JP3122610003","3727 JT","9JE00ACV2","6714587","",,582,,,,,,510,710,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5482","","CS","T",1000,,,665214,,,Y,1988,Y,Y,,,,"5482.T","","JP3103600007","5482 JT","008990145","6010207","",,501,,,,,,343,503,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","9959","","CS","T",100,,,7043,,,Y,1349,Y,Y,,,,"9959.T","","JP3117400006","9959 JT","9FI570G46","6056212","",,658,,,,,,575,875,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","9880","","CS","T",100,,,57507,,,Y,1821,Y,Y,,,,"9880.T","","JP3147800001","9880 JT","457990299","6462530","",,419,,,,,,320,480,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","7205","","CS","T",100,,,2326571,,,Y,36297,Y,Y,,,,"7205.T","","JP3792600003","7205 JT","433406105","6428305","",,852,,,1024,867,1024,777,1377,,,,,,"U",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5285","","CS","T",1000,,,36357,,,Y,115,Y,Y,,,,"5285.T","","JP3939400002","5285 JT","9JE008EL7","6976592","",,272,,,,,,223,383,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","1308","","CS","T",100,,,236621,,,Y,29133,Y,Y,,,,"1308.T","","JP3039100007","1308 JT","9JE0098C2","6432124","",,1373,,,,1071,1071,1071,1671,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8031","","CS","T",100,,,6202314,,,Y,31067,Y,Y,,,,"8031.T","","JP3893600001","8031 JT","606827103","6597302","",,1287.5,,,,,,996,1596,,,,,,"N",,,,,,,2,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","4217","","CS","T",100,,,895014,,,Y,19617,Y,Y,,,,"4217.T","","JP3785000005","4217 JT","433990223","6429126","",,2039,,,,,,1532,2532,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","7508","","CS","T",100,,,16307,,,Y,1333,Y,Y,,,,"7508.T","","JP3172450003","7508 JT","0539901N7","6034188","",,1223,,,,,,891,1491,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","2028","","CS","T",1,,,3,,,Y,1000,Y,Y,,,,"2028.T","","JP5826620006","2028 JT","9JE09I9A6","B6T5T66","",,4815,,,,,,3905,5310,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","7718","","CS","T",100,,,260886,,,Y,4703,Y,Y,,,,"7718.T","","JP3399000003","7718 JT","855990305","6841526","",,1264,,,,,,947,1547,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","9962","","CS","T",100,,,1235600,,,Y,23148,Y,Y,,,,"9962.T","","JP3885400006","9962 JT","6069903A5","6595179","",,1728,,,,,,1241,2041,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","1690","","CS","T",10,,,4356,,,Y,10000,Y,Y,,,,"1690.T","","","1690 JT","9JE051FP7","B46G184","",,912,,,,,,754,1054,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6716","","CS","T",1000,,,3667,,,Y,80,Y,Y,,,,"6716.T","","JP3518600006","6716 JT","9JE008FE2","6196839","",,246,,,,,,154,314,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5724","","CS","T",100,,,4936,,,Y,257,Y,Y,,,,"5724.T","","JP3109000004","5724 JT","9JE04S927","B3DJ0D7","",,1094,,,,,,845,1445,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","4809","","CS","T",100,,,5743,,,Y,1000,Y,Y,,,,"4809.T","","JP3781700004","4809 JT","9JE00Q6G7","B03YXP4","",,1570,,,,,,1177,1977,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5711","","CS","T",1000,,,6701500,,,Y,13148,Y,Y,,,,"5711.T","","JP3903000002","5711 JT","606990133","6597089","",,297,,,,,,239,399,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","4769","","CS","T",100,,,3007,,,Y,386,Y,Y,,,,"4769.T","","JP3153800002","4769 JT","9JE008NI4","6269203","",,886,,,,,,734,1034,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6022","","CS","T",1000,,,10636,,,Y,154,Y,Y,,,,"6022.T","","JP3106800000","6022 JT","009990367","6011114","",,135,,,,,,86,186,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6470","","CS","T",100,,,26329,,,Y,2884,Y,Y,,,,"6470.T","","JP3449080005","6470 JT","9JE0088M2","6145455","",,1183,,,,,,942,1542,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","5976","","CS","T",100,,,33929,,,Y,4471,Y,Y,,,,"5976.T","","JP3288200003","5976 JT","641990148","6629540","",,825,,,,,,658,958,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","2798","","CS","T",100,,,3014,,,Y,266,Y,Y,,,,"2798.T","","JP3990760005","2798 JT","9JE00AKJ0","6735834","",,2740,,,,,,2027,3030,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","8217","","CS","T",1000,,,21357,,,Y,452,Y,Y,,,,"8217.T","","JP3172150009","8217 JT","157990201","6657950","",,1196,,,,,,869,1469,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6428","","CS","T",100,,,19500,,,Y,2250,Y,Y,,,,"6428.T","","JP3170100006","6428 JT","9JE008QW0","6289773","",,444,,,,,,359,519,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","9629","","CS","T",100,,,3686,,,Y,770,Y,Y,,,,"9629.T","","JP3801500004","9629 JT","693180192","6672748","",,1293,,,,,,987,1587,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6036","","CS","T",100,,,31179,,,Y,730,Y,Y,,,,"6036.T","","JP3236320002","6036 JT","9JE06F4M4","BVFNJ69","",,1554,,,,,,1399,2199,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","3841","","CS","T",100,,,1111,,,Y,195,Y,Y,,,,"3841.T","","JP3386340008","3841 JT","9JE027GK7","B1RBT50","",,879,,,,,,694,994,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","2777","","CS","T",100,,,1223,,,Y,409,Y,Y,,,,"2777.T","","JP3212300002","2777 JT","9JE009ZM0","6652342","",,817,,,,,,655,955,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","2831","","CS","T",1000,,,3462,,,Y,206,Y,Y,,,,"2831.T","","JP3767600004","2831 JT","4059901N2","6208477","",,1187,,,,,,896,1496,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","7838","","CS","T",100,,,34457,,,Y,4863,Y,Y,,,,"7838.T","","JP3253700003","7838 JT","9JE00UC55","B05KY80","",,294,,,,,,213,373,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"T","6864","","CS","T",100,,,2615,,,Y,633,Y,Y,,,,"6864.T","","JP3164680005","6864 JT","623990140","6619499","",,629,,,,,,540,740,,,,,,"N",,,,,,,0,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
